 0.122  403.78   18.80  521.56   25.91  646.61   32.25
 0.173  320.76   15.07  405.55   19.47  454.60   24.62
 0.247  250.04   14.57  314.75   18.65  342.78   19.72
 0.351  195.97   13.40  242.73   16.24  260.54   16.80
 0.500  151.47   11.28  184.98   13.38  195.04   14.68
 0.712  116.21    9.41  138.60   11.13  143.84   12.16
 1.014   84.82    7.57  100.96    9.10  104.03    9.52
 1.445   61.24    5.95   71.08    6.97   74.22    7.36
 2.058   45.65    5.09   52.60    5.91   55.91    6.11
 2.933   35.51    4.15   40.45    4.80   44.06    4.96
 4.175   27.69    3.49   30.78    3.87   32.02    3.78
 5.942   20.58    2.91   22.73    3.33   23.34    3.28
 8.464   14.31    2.19   15.71    2.46   16.90    2.54
12.048    9.67    1.56   10.57    1.72   11.10    1.83
17.158    5.63    1.28    5.96    1.41    6.27    1.55
